X,Y,X,Y,tld,domain,lat,lon,hex_id
13.353274,52.596958,13.3532740000,52.5969580000,berlin,gesoabu,52.5969580000,13.3532740000,1321
13.353274,52.596958,13.3532740000,52.5969580000,berlin,hallonachbar,52.5969580000,13.3532740000,1321
13.353274,52.596958,13.3532740000,52.5969580000,berlin,aktiva,52.5969580000,13.3532740000,1321
13.318541,52.596908,13.3185410000,52.5969080000,berlin,rosinsky,52.5969080000,13.3185410000,977
13.318541,52.596908,13.3185410000,52.5969080000,berlin,einkaufengehen,52.5969080000,13.3185410000,977
13.318541,52.596908,13.3185410000,52.5969080000,berlin,3d-druck-service,52.5969080000,13.3185410000,977
13.318541,52.596908,13.3185410000,52.5969080000,berlin,kurier-service,52.5969080000,13.3185410000,977
13.392308,52.596851,13.3923080000,52.5968510000,berlin,equadrat,52.5968510000,13.3923080000,1663
13.349063,52.596729,13.3490630000,52.5967290000,berlin,a-r-a-l,52.5967290000,13.3490630000,1271
13.3533579,52.5966944,13.3533579000,52.5966944000,berlin,nachhaltigwohnen,52.5966944000,13.3533579000,1271
13.3533579,52.5966944,13.3533579000,52.5966944000,berlin,wohnungsneubau,52.5966944000,13.3533579000,1271
13.357664,52.596472,13.3576640000,52.5964720000,berlin,helbig,52.5964720000,13.3576640000,1369
13.355547,52.596299,13.3555470000,52.5962990000,berlin,perlenketten,52.5962990000,13.3555470000,1321
13.379116,52.596262,13.3791160000,52.5962620000,berlin,willers,52.5962620000,13.3791160000,1565
13.386708,52.596129,13.3867080000,52.5961290000,berlin,niemann,52.5961290000,13.3867080000,1614
13.342199,52.596122,13.3421990000,52.5961220000,berlin,diabetesnetz,52.5961220000,13.3421990000,1173
13.397994,52.595898,13.3979940000,52.5958980000,berlin,ichduwir,52.5958980000,13.3979940000,1712
13.396276,52.595879,13.3962760000,52.5958790000,berlin,straight-berlin,52.5958790000,13.3962760000,1712
13.396276,52.595879,13.3962760000,52.5958790000,berlin,vertriebspartner-vodafone,52.5958790000,13.3962760000,1712
13.396276,52.595879,13.3962760000,52.5958790000,berlin,vertriebspartner-kabeldeutschland,52.5958790000,13.3962760000,1712
13.396276,52.595879,13.3962760000,52.5958790000,berlin,vertrieb-partner,52.5958790000,13.3962760000,1712
13.345372,52.595874,13.3453720000,52.5958740000,berlin,ogloszenia,52.5958740000,13.3453720000,1222
